num_players,num_rounds,round_index,pairs
8,1,0,"(0,3);(1,2);(4,5);(6,7)"
8,2,0,"(0,6);(1,3);(2,7);(4,5)"
8,2,1,"(0,5);(1,4);(2,3);(6,7)"
8,3,0,"(0,6);(1,5);(2,7);(3,4)"
8,3,1,"(0,3);(1,7);(2,6);(4,5)"
8,3,2,"(0,1);(2,4);(3,5);(6,7)"
8,4,0,"(0,5);(1,4);(2,7);(3,6)"
8,4,1,"(0,6);(1,7);(2,4);(3,5)"
8,4,2,"(0,7);(1,3);(2,6);(4,5)"
8,4,3,"(0,4);(1,5);(2,3);(6,7)"
8,5,0,"(0,2);(1,6);(3,4);(5,7)"
8,5,1,"(0,5);(1,2);(3,7);(4,6)"
8,5,2,"(0,6);(1,4);(2,7);(3,5)"
8,5,3,"(0,7);(1,3);(2,6);(4,5)"
8,5,4,"(0,4);(1,5);(2,3);(6,7)"
8,6,0,"(0,7);(1,5);(2,4);(3,6)"
8,6,1,"(0,6);(1,2);(3,4);(5,7)"
8,6,2,"(0,4);(1,3);(2,7);(5,6)"
8,6,3,"(0,2);(1,7);(3,5);(4,6)"
8,6,4,"(0,1);(2,6);(3,7);(4,5)"
8,6,5,"(0,3);(1,4);(2,5);(6,7)"
8,7,0,"(0,2);(1,7);(3,4);(5,6)"
8,7,1,"(0,1);(2,5);(3,6);(4,7)"
8,7,2,"(0,3);(1,2);(4,6);(5,7)"
8,7,3,"(0,5);(1,6);(2,4);(3,7)"
8,7,4,"(0,6);(1,4);(2,7);(3,5)"
8,7,5,"(0,7);(1,3);(2,6);(4,5)"
8,7,6,"(0,4);(1,5);(2,3);(6,7)"
9,9,0,"(1,4);(2,3);(5,6);(7,8)"
9,9,1,"(0,2);(3,7);(4,5);(6,8)"
9,9,2,"(0,6);(1,3);(4,7);(5,8)"
9,9,3,"(0,1);(2,5);(4,8);(6,7)"
9,9,4,"(0,7);(1,5);(2,6);(3,8)"
9,9,5,"(0,8);(1,7);(2,4);(3,6)"
9,9,6,"(0,4);(1,8);(2,7);(3,5)"
9,9,7,"(0,3);(1,2);(4,6);(5,7)"
9,9,8,"(0,5);(1,6);(2,8);(3,4)"
10,5,0,"(0,9);(3,8);(4,7);(5,6)"
10,5,1,"(1,5);(2,8);(3,9);(4,6)"
10,5,2,"(0,3);(1,8);(2,7);(4,5)"
10,5,3,"(0,4);(1,2);(5,9);(6,7)"
