num_players,num_rounds,round_index,pairs
12,1,0,"(0,5);(1,2);(3,4);(6,7);(8,9);(10,11)"
12,2,0,"(0,4);(1,2);(3,11);(5,10);(6,7);(8,9)"
12,2,1,"(0,8);(1,9);(2,6);(3,7);(4,5);(10,11)"
12,3,0,"(0,4);(1,10);(2,9);(3,5);(6,7);(8,11)"
12,3,1,"(0,10);(1,7);(2,5);(3,11);(4,6);(8,9)"
12,3,2,"(0,8);(1,9);(2,6);(3,7);(4,5);(10,11)"
12,4,0,"(0,10);(1,8);(2,11);(3,4);(5,6);(7,9)"
12,4,1,"(0,8);(1,4);(2,9);(3,10);(5,11);(6,7)"
12,4,2,"(0,5);(1,10);(2,7);(3,6);(4,11);(8,9)"
12,4,3,"(0,9);(1,7);(2,5);(3,8);(4,6);(10,11)"
12,5,0,"(0,3);(1,2);(4,7);(5,6);(8,11);(9,10)"
12,5,1,"(0,11);(1,7);(2,4);(3,5);(6,9);(8,10)"
12,5,2,"(0,4);(1,8);(2,10);(3,9);(5,11);(6,7)"
12,5,3,"(0,7);(1,10);(2,5);(3,11);(4,6);(8,9)"
12,5,4,"(0,8);(1,9);(2,6);(3,7);(4,5);(10,11)"
12,6,0,"(0,10);(1,11);(2,3);(4,7);(5,8);(6,9)"
12,6,1,"(0,4);(1,3);(2,10);(5,9);(6,8);(7,11)"
12,6,2,"(0,11);(1,6);(2,4);(3,9);(5,10);(7,8)"
12,6,3,"(0,2);(1,8);(3,11);(4,5);(6,7);(9,10)"
12,6,4,"(0,6);(1,5);(2,11);(3,7);(4,10);(8,9)"
12,6,5,"(0,7);(1,9);(2,6);(3,5);(4,8);(10,11)"
12,7,0,"(0,3);(1,10);(2,4);(5,7);(6,9);(8,11)"
12,7,1,"(0,7);(1,4);(2,10);(3,9);(5,11);(6,8)"
12,7,2,"(0,5);(1,6);(2,7);(3,8);(4,11);(9,10)"
12,7,3,"(0,9);(1,11);(2,8);(3,10);(4,7);(5,6)"
12,7,4,"(0,11);(1,8);(2,9);(3,4);(5,10);(6,7)"
12,7,5,"(0,10);(1,7);(2,5);(3,11);(4,6);(8,9)"
12,7,6,"(0,8);(1,9);(2,6);(3,7);(4,5);(10,11)"
12,8,0,"(0,4);(1,5);(2,3);(6,9);(7,10);(8,11)"
12,8,1,"(0,3);(1,6);(2,10);(4,9);(5,11);(7,8)"
12,8,2,"(0,1);(2,7);(3,8);(4,10);(5,9);(6,11)"
12,8,3,"(0,6);(1,10);(2,11);(3,9);(4,8);(5,7)"
12,8,4,"(0,9);(1,11);(2,8);(3,10);(4,7);(5,6)"
12,8,5,"(0,11);(1,8);(2,9);(3,4);(5,10);(6,7)"
12,8,6,"(0,10);(1,7);(2,5);(3,11);(4,6);(8,9)"
12,8,7,"(0,8);(1,9);(2,6);(3,7);(4,5);(10,11)"
12,9,0,"(0,2);(1,4);(3,9);(5,11);(6,8);(7,10)"
12,9,1,"(0,7);(1,3);(2,8);(4,5);(6,9);(10,11)"
12,9,2,"(0,5);(1,10);(2,3);(4,6);(7,8);(9,11)"
12,9,3,"(0,4);(1,2);(3,5);(6,10);(7,9);(8,11)"
12,9,4,"(0,11);(1,8);(2,9);(3,6);(4,7);(5,10)"
