num_players,num_rounds,round_index,pairs
16,1,0,"(0,4);(1,9);(2,8);(3,7);(5,6);(10,11);(12,13);(14,15)"
16,2,0,"(0,3);(1,2);(4,14);(5,8);(6,15);(7,9);(10,11);(12,13)"
16,2,1,"(0,7);(1,8);(2,5);(3,12);(4,13);(6,11);(9,10);(14,15)"
16,3,0,"(0,12);(1,4);(2,6);(3,14);(5,15);(7,9);(8,13);(10,11)"
16,3,1,"(0,10);(1,8);(2,14);(3,15);(4,6);(5,7);(9,11);(12,13)"
16,3,2,"(0,8);(1,7);(2,5);(3,12);(4,13);(6,11);(9,10);(14,15)"
16,4,0,"(0,10);(1,13);(2,5);(3,14);(4,9);(6,8);(7,12);(11,15)"
16,4,1,"(0,1);(2,4);(3,13);(5,15);(6,9);(7,14);(8,12);(10,11)"
16,4,2,"(0,6);(1,8);(2,7);(3,10);(4,15);(5,14);(9,11);(12,13)"
16,4,3,"(0,11);(1,12);(2,9);(3,7);(4,8);(5,10);(6,13);(14,15)"
16,5,0,"(0,4);(1,11);(2,6);(3,12);(5,9);(7,10);(8,14);(13,15)"
16,5,1,"(0,10);(1,5);(2,3);(4,13);(6,11);(7,15);(8,9);(12,14)"
16,5,2,"(0,8);(1,15);(2,13);(3,9);(4,6);(5,14);(7,12);(10,11)"
16,5,3,"(0,6);(1,7);(2,8);(3,14);(4,15);(5,10);(9,11);(12,13)"
16,5,4,"(0,11);(1,12);(2,9);(3,7);(4,8);(5,6);(10,13);(14,15)"
16,6,0,"(0,10);(1,11);(2,7);(3,4);(5,12);(6,14);(8,15);(9,13)"
16,6,1,"(0,4);(1,3);(2,5);(6,15);(7,14);(8,12);(9,11);(10,13)"
16,6,2,"(0,13);(1,15);(2,12);(3,10);(4,14);(5,9);(6,7);(8,11)"
16,6,3,"(0,7);(1,13);(2,8);(3,15);(4,5);(6,12);(9,14);(10,11)"
16,6,4,"(0,5);(1,4);(2,11);(3,9);(6,8);(7,15);(10,14);(12,13)"
16,6,5,"(0,11);(1,10);(2,9);(3,5);(4,8);(6,13);(7,12);(14,15)"
16,7,0,"(0,14);(1,15);(2,3);(4,9);(5,12);(6,7);(8,10);(11,13)"
16,7,1,"(0,10);(1,2);(3,15);(4,5);(6,8);(7,13);(9,14);(11,12)"
16,7,2,"(0,7);(1,8);(2,11);(3,13);(4,12);(5,6);(9,15);(10,14)"
16,7,3,"(0,13);(1,10);(2,7);(3,9);(4,6);(5,8);(11,14);(12,15)"
16,7,4,"(0,8);(1,7);(2,13);(3,12);(4,14);(5,9);(6,15);(10,11)"
16,7,5,"(0,9);(1,6);(2,14);(3,8);(4,10);(5,15);(7,11);(12,13)"
16,7,6,"(0,11);(1,12);(2,9);(3,7);(4,8);(5,10);(6,13);(14,15)"
16,8,0,"(0,13);(1,9);(2,8);(3,11);(4,5);(6,7);(10,14);(12,15)"
16,8,1,"(0,15);(1,2);(3,14);(4,13);(5,11);(6,8);(7,10);(9,12)"
16,8,2,"(0,14);(1,7);(2,11);(3,8);(4,15);(5,12);(6,9);(10,13)"
16,8,3,"(0,9);(1,14);(2,15);(3,10);(4,11);(5,13);(6,12);(7,8)"
16,8,4,"(0,12);(1,10);(2,6);(3,15);(4,7);(5,9);(8,14);(11,13)"
16,8,5,"(0,6);(1,15);(2,12);(3,13);(4,8);(5,14);(7,9);(10,11)"
16,8,6,"(0,8);(1,6);(2,7);(3,9);(4,14);(5,10);(11,15);(12,13)"
16,8,7,"(0,11);(1,12);(2,9);(3,7);(4,10);(5,6);(8,13);(14,15)"
16,9,0,"(0,1);(2,13);(3,5);(4,15);(6,12);(7,14);(8,10);(9,11)"
16,9,1,"(0,12);(1,4);(2,3);(5,15);(6,14);(7,13);(8,11);(9,10)"
16,9,2,"(0,10);(1,15);(2,8);(3,14);(4,9);(5,6);(7,12);(11,13)"
16,9,3,"(0,13);(1,14);(2,5);(3,4);(6,8);(7,11);(9,15);(10,12)"
16,9,4,"(0,7);(1,13);(2,11);(3,12);(4,10);(5,9);(6,15);(8,14)"
16,9,5,"(0,9);(1,10);(2,7);(3,6);(4,11);(5,8);(12,15);(13,14)"
